ville,departement,region
Paris,75 – Paris,Île-de-France
Marseille,13 – Bouches-du-Rhône,Provence-Alpes-Côte d'Azur
Lyon,69 – Rhône,Auvergne-Rhône-Alpes
Toulouse,31 – Haute-Garonne,Occitanie
Nice,06 – Alpes-Maritimes,Provence-Alpes-Côte d'Azur
Nantes,44 – Loire-Atlantique,Pays de la Loire
Montpellier,34 – Hérault,Occitanie
Strasbourg,67 – Bas-Rhin,Grand Est
Bordeaux,33 – Gironde,Nouvelle-Aquitaine
Lille,59 – Nord,Hauts-de-France
Rennes,35 – Ille-et-Vilaine,Bretagne
Reims,51 – Marne,Grand Est
Le Havre,76 – Seine-Maritime,Normandie
Saint-Étienne,42 – Loire,Auvergne-Rhône-Alpes
Toulon,83 – Var,Provence-Alpes-Côte d'Azur
Grenoble,38 – Isère,Auvergne-Rhône-Alpes
Dijon,21 – Côte-d'Or,Bourgogne-Franche-Comté
Angers,49 – Maine-et-Loire,Pays de la Loire
Nîmes,30 – Gard,Occitanie
Clermont-Ferrand,63 – Puy-de-Dôme,Auvergne-Rhône-Alpes
Brest,29 – Finistère,Bretagne
Tours,37 – Indre-et-Loire,Centre-Val de Loire
Amiens,80 – Somme,Hauts-de-France
Limoges,87 – Haute-Vienne,Nouvelle-Aquitaine
Le Mans,72 – Sarthe,Pays de la Loire
Besançon,25 – Doubs,Bourgogne-Franche-Comté
Orléans,45 – Loiret,Centre-Val de Loire
Metz,57 – Moselle,Grand Est
Perpignan,66 – Pyrénées-Orientales,Occitanie
Caen,14 – Calvados,Normandie
Pau,64 – Pyrénées-Atlantiques,Nouvelle-Aquitaine
La Rochelle,17 – Charente-Maritime,Nouvelle-Aquitaine
Béziers,34 – Hérault,Occitanie
Chambéry,73 – Savoie,Auvergne-Rhône-Alpes
Quimper,29 – Finistère,Bretagne
Lorient,56 – Morbihan,Bretagne
Niort,79 – Deux-Sèvres,Nouvelle-Aquitaine
Cholet,49 – Maine-et-Loire,Pays de la Loire
Valence,26 – Drôme,Auvergne-Rhône-Alpes
Troyes,10 – Aube,Grand Est
Cannes,06 – Alpes-Maritimes,Provence-Alpes-Côte d'Azur
Antibes,06 – Alpes-Maritimes,Provence-Alpes-Côte d'Azur
Beauvais,60 – Oise,Hauts-de-France
Aix-en-Provence,13 – Bouches-du-Rhône,Provence-Alpes-Côte d'Azur
Rouen,76 – Seine-Maritime,Normandie
Mulhouse,68 – Haut-Rhin,Grand Est
